IndustryGroup,year,Turnover,meanMarkup,sd,p10mk,p25mk,p50mk ,p75mk,p90mk
constr,1997,89487000,1.175,0.326,0.89,0.996,1.106,1.283,1.579
constr,1998,100935000,1.187,0.315,0.896,1.007,1.119,1.305,1.606
constr,1999,107185000,1.19,0.344,0.903,1.006,1.119,1.304,1.552
constr,2000,115027000,1.2,0.38,0.878,0.988,1.098,1.304,1.694
constr,2001,121275500,1.16,0.332,0.865,0.981,1.094,1.237,1.588
constr,2002,137576500,1.16,0.322,0.866,0.972,1.097,1.236,1.556
constr,2003,148802500,1.129,0.257,0.872,0.971,1.094,1.229,1.417
constr,2004,152825000,1.14,0.3,0.86,0.973,1.077,1.245,1.511
constr,2005,160435000,1.16,0.336,0.855,0.972,1.091,1.267,1.539
constr,2006,176325500,1.192,0.365,0.868,0.982,1.111,1.295,1.624
constr,2007,197683000,1.194,0.393,0.866,0.973,1.093,1.293,1.691
constr,2008,217309000,1.183,0.434,0.829,0.938,1.077,1.276,1.771
constr,2009,181870500,1.18,0.462,0.809,0.945,1.064,1.264,1.746
constr,2010,177027500,1.189,0.414,0.835,0.956,1.092,1.295,1.695
constr,2011,181047000,1.183,0.399,0.831,0.955,1.097,1.31,1.685
constr,2012,174834500,1.199,0.428,0.85,0.966,1.097,1.297,1.71
constr,2013,182590500,1.205,0.403,0.849,0.98,1.107,1.322,1.731
constr,2014,207875500,1.197,0.416,0.836,0.966,1.1,1.295,1.699
constr,2015,227862500,1.208,0.426,0.849,0.984,1.108,1.285,1.765
constr,2016,238795000,1.206,0.443,0.83,0.956,1.096,1.347,1.7
constr,2017,248556500,1.208,0.43,0.834,0.968,1.102,1.343,1.68
constr,2018,267865000,1.162,0.365,0.821,0.95,1.074,1.285,1.657
constr,2019,290375500,1.148,0.355,0.799,0.951,1.069,1.263,1.69
constr,2020,261266500,1.13,0.348,0.77,0.922,1.061,1.278,1.559
constr,2021,294610500,1.198,0.385,0.797,0.971,1.122,1.371,1.705
