Date,rgdp
1997 Q1,358611
1997 Q2,362573
1997 Q3,365942
1997 Q4,371341
1998 Q1,374037
1998 Q2,376421
1998 Q3,377650
1998 Q4,380155
1999 Q1,382789
1999 Q2,384605
1999 Q3,390758
1999 Q4,396357
2000 Q1,401242
2000 Q2,404196
2000 Q3,406795
2000 Q4,409411
2001 Q1,413054
2001 Q2,414878
2001 Q3,417085
2001 Q4,418445
2002 Q1,419534
2002 Q2,421587
2002 Q3,424425
2002 Q4,427725
2003 Q1,430832
2003 Q2,434837
2003 Q3,438710
2003 Q4,442172
2004 Q1,443853
2004 Q2,446443
2004 Q3,448171
2004 Q4,450464
2005 Q1,453784
2005 Q2,457557
2005 Q3,461135
2005 Q4,465451
2006 Q1,467840
2006 Q2,469655
2006 Q3,470918
2006 Q4,473372
2007 Q1,477823
2007 Q2,481314
2007 Q3,484544
2007 Q4,487413
2008 Q1,489783
2008 Q2,487386
2008 Q3,479872
2008 Q4,469694
2009 Q1,460105
2009 Q2,458599
2009 Q3,458875
2009 Q4,460238
2010 Q1,464543
2010 Q2,469606
2010 Q3,472199
2010 Q4,472612
2011 Q1,473819
2011 Q2,474365
2011 Q3,475813
2011 Q4,476479
2012 Q1,480632
2012 Q2,479979
2012 Q3,484579
2012 Q4,484039
2013 Q1,485409
2013 Q2,488930
2013 Q3,493002
2013 Q4,496466
2014 Q1,500552
2014 Q2,504939
2014 Q3,508741
2014 Q4,512334
2015 Q1,513850
2015 Q2,516876
2015 Q3,518915
2015 Q4,521920
2016 Q1,523813
2016 Q2,526750
2016 Q3,528712
2016 Q4,532082
2017 Q1,536566
2017 Q2,540020
2017 Q3,543452
2017 Q4,547377
2018 Q1,547688
2018 Q2,548600
2018 Q3,550425
2018 Q4,551128
2019 Q1,555141
2019 Q2,556932
2019 Q3,560987
2019 Q4,560861
2020 Q1,545597
2020 Q2,434718
2020 Q3,507643
2020 Q4,514531
2021 Q1,509261
2021 Q2,546579
2021 Q3,555956
2021 Q4,564407
2022 Q1,567396
2022 Q2,567889
2022 Q3,567445
2022 Q4,568034
2023 Q1,569336
2023 Q2,569364
2023 Q3,568655
2023 Q4,566695
