pnfc_gos,pnfc_nos,pnfc_gror,pnfc_nror,ukcs_gos,ukcs_nos,ukcs_gror,ukcs_nror,nukcs_pnfc_gos,nukcs_pnfc_nos,nukcs_pnfc_gror,nukcs_pnfc_nror,manu_pnfc_gos,manu_pnfc_nos,manu_pnfc_gror,manu_pnfc_nror,serv_pnfc_gos,serv_pnfc_nos,serv_pnfc_gror,serv_pnfc_nror
60587,35650,11.1,11.2,5350,3686,12.8,16.7,55237,31964,11,10.7,11147,5940,9.9,10,35933,21018,13.3,13.2
63103,37936,11.4,11.7,5755,4074,13.5,18.2,57348,33862,11.2,11.2,11874,6643,10.1,10.6,37070,21998,12.9,12.5
61949,36549,11,11.1,6019,4334,13.9,19.2,55930,32215,10.8,10.5,10913,5682,9.9,10.2,39368,24109,13,12.7
65062,39354,11.4,11.8,6454,4760,14.8,21,58608,34594,11.1,11.1,10688,5427,9.9,10.6,41899,26420,13.9,14.4
63376,37300,10.9,11,7589,5891,17.2,25.8,55787,31409,10.4,9.9,11658,6306,9.9,10.3,37438,21738,12.8,12.6
66381,39981,11.3,11.6,7320,5616,16.5,24.5,59061,34365,10.8,10.7,11516,6151,9.5,9.7,39387,23436,12.6,12.3
65472,38872,11,11.1,6463,4761,14.4,20.7,59009,34111,10.7,10.5,10894,5536,9.5,9.6,40178,24067,12.4,11.8
61264,34511,10.2,9.7,5939,4212,13.1,18,55325,30299,9.9,9.2,9430,4096,8.7,8,37365,21134,11.7,10.8
61034,33816,10,9.4,5110,3379,11,14.1,55924,30437,9.9,9.1,11197,5748,9.4,9.1,36511,19991,11.7,10.8
65536,38059,10.6,10.4,5514,3774,11.8,15.6,60022,34285,10.5,10.1,10269,4841,8.6,7.6,40427,23687,12.3,11.8
65395,37636,10.4,10.2,6368,4622,13.5,19,59027,33014,10.2,9.5,10336,4887,9,8.2,41174,24244,11.9,11.3
69550,41499,10.9,11,9088,7338,19.1,29.9,60462,34161,10.2,9.7,10179,4701,9.3,9,42083,24947,12.4,12
71992,43395,11.1,11.3,7689,5939,16,24.1,64303,37456,10.7,10.4,12411,6778,10.1,10.5,44298,26841,13.1,13.2
72431,43154,10.9,11,9218,7450,19.1,30.2,63213,35704,10.3,9.7,13465,7732,10.8,11.8,40099,22182,11.3,10.4
73872,44496,11.1,11.4,7476,5672,15.2,22.6,66396,38824,10.8,10.6,10741,4974,8.8,8.1,45954,28059,12.6,12.4
68452,38676,10.2,9.9,3737,1861,7.3,7.1,64715,36815,10.5,10.1,10728,4926,9.2,8.9,46451,28317,13.2,13.6
66136,35803,9.8,9.1,5099,3191,9.6,11.9,61037,32612,9.8,8.9,9981,4053,7.7,6,44118,25660,12.6,12.5
63098,32547,9.3,8.3,4122,2238,7.8,8.4,58976,30309,9.4,8.3,9518,3530,7.3,5.3,42910,24314,12.1,11.7
65852,35491,9.7,9.1,5165,3324,10,12.8,60687,32167,9.7,8.9,9700,3797,7.8,6.1,44390,25831,12,11.6
61814,31601,9.2,8.2,7066,5255,13.9,20.7,54748,26346,8.8,7.3,8898,3039,7.4,5.4,39825,21343,11.3,10.4
